,ticker,date,count,length,PctOld,PctRecombination,ExtentOld,ExtentRecombination,AbnPctOld,AbnPctRecombination,AbnRet,|AbnRet|,AbnVol,Stories,AbnStories,Terms,MCap,BM,AbnRetPrev5,AbnVolPrev5,Illiq
183,F,20150303,1,140.0,1.0,1.0,0.98,0.8099999999999999,0.4502984931059282,0.5522765066355231,-0.03139758272650581,0.03139758272650581,-0.029977364677205506,1,0.0,140.0,24.857366166270282,3.3399912924487174e-06,0.012231792193239282,-0.003929083994013258,1.8252579626165323e-05
184,F,20150317,1,412.0,0.0,0.0,0.03,0.009999999999999998,-0.5108722478089344,-0.2128847459999038,-0.019276308176290016,0.019276308176290016,-0.011964109358779453,1,-0.01818181818181818,412.0,24.8770833792766,3.2747809682520376e-06,0.037001534171949964,-0.0007933888251750322,2.6263184395050663e-05
185,F,20150401,1,87.0,0.0,0.0,0.32,0.0,-0.20560240743048147,-0.26704997299960503,-0.004726392898194645,0.004726392898194645,-0.021009912527477966,1,-0.03636363636363636,87.0,24.867808863915418,3.3662718107321358e-06,-0.013570473381478978,-0.011248005830920274,2.4483655676121517e-05
186,F,20150416,1,280.0,0.0,0.0,0.16,0.010000000000000007,-0.37657671934469183,-0.2275326105237081,-0.01316504596975525,0.01316504596975525,-0.01403027524226555,1,-0.05454545454545454,280.0,24.860355413260837,3.3914558891166653e-06,-0.0064381104193231365,-0.00460341449999373,1.6809347244798997e-05
187,F,20150508,2,302.5,0.5,0.5,0.605,0.48,0.08860941327795846,0.24464969746852866,0.00521805791643793,0.00521805791643793,0.003931764297170516,2,-0.07272727272727272,302.5,24.833948739936975,3.4822058862738443e-06,-0.004933576362509332,-0.010166922499682242,1.0701779898985238e-05
188,F,20150602,1,285.0,0.0,0.0,0.56,0.16000000000000006,0.02323370183554729,-0.07691450970641936,-0.009260240993797663,0.009260240993797663,-0.01180353592323457,1,-0.09090909090909091,285.0,24.822358140122066,3.52280155075113e-06,0.01476428946988165,-0.0048913534419169295,2.207190271689037e-05
189,F,20150605,1,103.0,0.0,0.0,0.06,0.05,-0.4669992942294544,-0.21416255658084413,-0.009639114131895542,0.009639114131895542,-0.02361186263956584,1,0.1090909090909091,103.0,24.794779241861427,3.6213086513713347e-06,-0.01314394905023166,-0.009096995363093746,2.1596522963668624e-05
190,F,20150701,1,492.0,0.0,0.0,0.27,0.15000000000000002,-0.2729572933494503,-0.06533965967973783,-0.004032603672661393,0.004032603672661393,-0.007250788961272024,1,-0.09090909090909091,492.0,24.80273684353474,3.6547062211858864e-06,0.012210645274343193,-0.010398642385211019,1.7537732417879396e-05
191,F,20150708,1,311.0,1.0,1.0,0.88,0.81,0.3422883833351833,0.5762089932821313,-0.0373060583882902,0.0373060583882902,-0.03896703924203714,1,0.1090909090909091,311.0,24.771201187680326,3.7717963318850935e-06,0.004523726970922075,-0.008459525969018167,1.1811170666588774e-05
192,F,20150716,2,423.5,0.0,0.0,0.07500000000000001,0.010000000000000007,-0.4451719892847408,-0.21230223403164014,-0.011808885849766115,0.011808885849766115,-0.01887911717453339,2,-0.10909090909090909,423.5,24.77596148228663,3.7538841376359783e-06,0.010016242540201701,-0.0007838383571823952,2.6155562814075526e-05
193,F,20150728,2,436.5,0.0,0.0,0.33,0.015000000000000013,-0.1905241346178008,-0.20603940758397488,0.025328576205437985,0.025328576205437985,0.01211491154378743,2,-0.14545454545454545,436.5,24.790776568071767,3.6986799591413318e-06,0.022049597414359585,-0.007638397761949083,2.315708264106747e-05
194,FB,20150422,1,484.0,0.0,0.0,0.4,0.06,-0.14276172898491346,-0.15605821129611358,0.012854832418925438,0.012854832418925438,0.005881495030005051,1,0.0,484.0,25.968324795535374,2.2152436677667664e-07,-0.0026110584457549905,-0.005899611950784267,6.768519099859296e-06
195,FB,20150729,2,162.5,0.0,0.0,0.505,0.405,-0.005070276047962175,0.15040262202311888,0.005506637036185534,0.005506637036185534,0.01078265457928326,2,0.0,162.5,26.106190253337992,2.027493903066252e-07,-0.0008853185870600598,-0.013736899183254209,5.379728676093201e-06
196,FCAU,20150303,1,46.0,0.0,0.0,0.03,0.009999999999999998,-0.490901827325586,-0.26376347797348243,-0.04010658272650581,0.04010658272650581,-0.03868636467720551,1,0.0,46.0,23.719308282392127,6.079471576327592e-06,0.01848779219323928,-0.0026778839940132574,0.00020347638684390924
197,FCAU,20150317,1,95.0,1.0,1.0,0.62,0.5,0.09367763149011687,0.2343966374972111,-0.031155308176290017,0.031155308176290017,-0.023843109358779452,1,-0.01818181818181818,95.0,23.769412687929265,5.782368506012253e-06,0.08929353417194996,0.009665011174824968,0.0002736440851388639
198,FCAU,20150416,2,342.5,0.5,0.5,0.5700000000000001,0.19500000000000006,0.052243091109766326,-0.035749147407982074,-0.01720304596975525,0.01720304596975525,-0.01806827524226555,2,-0.03636363636363636,342.5,23.7742877737576,5.436222207061819e-06,-0.01803211041932314,-0.00692221449999373,0.00017835821858786042
199,FCAU,20150501,1,25.0,1.0,0.0,0.78,0.030000000000000027,0.26274859746111856,-0.2439909902287407,0.004037903043395817,0.004037903043395817,-0.013395289630122048,1,-0.07272727272727272,25.0,23.665883115718547,6.058662283615645e-06,-0.08500039621374511,-0.024231617320916082,0.00024775518025024957
200,FCAU,20150602,1,262.0,0.0,0.0,0.07,0.06000000000000001,-0.4658712609468357,-0.17980743240850822,-0.010730240993797662,0.010730240993797662,-0.01327353592323457,1,-0.07272727272727272,262.0,23.759590632293804,5.5167091490540976e-06,0.030895289469881647,-0.0016651534419169305,0.00010498582049224957
201,FCAU,20150701,1,130.0,1.0,1.0,0.64,0.47,0.1109701996773812,0.21058112878672847,0.004181396327338607,0.004181396327338607,0.000963211038727976,1,-0.07272727272727272,130.0,23.66520537933205,6.226266042019631e-06,-0.0501543547256568,-0.02287164238521102,0.00023169237431593226
202,FCAU,20150716,2,237.5,0.0,0.0,0.31999999999999995,0.15999999999999995,-0.1938277800715953,-0.08359131477997657,0.026692114150233884,0.026692114150233884,0.019621882825466612,2,-0.05454545454545454,237.5,23.69328208990666,6.053884253117308e-06,0.07006424254020169,0.011225761642817602,0.00028508283522533755
203,FCAU,20150723,1,381.0,0.0,0.0,0.11,0.009999999999999995,-0.42997542643175335,-0.2160477134743875,0.005829596122759638,0.005829596122759638,-0.005020312205948393,1,0.34545454545454546,381.0,23.719308282392127,5.898357361579291e-06,0.03518368508536828,0.0021237902497916023,0.00014490593097682324
204,FCAU,20150724,1,411.0,0.0,0.0,0.35,-0.010000000000000007,-0.19084418158496846,-0.23298450882320595,-0.01915571181159472,0.01915571181159472,-0.03317562791172218,1,0.1090909090909091,411.0,23.71737964148572,5.90974415185261e-06,0.014321167057894043,-0.0028046487564913985,7.899568899866148e-05
205,FCAU,20150730,3,205.66666666666663,0.3333333333333333,0.3333333333333333,0.3666666666666667,0.16000000000000006,-0.13340300447473286,-0.08836561549629379,0.06636669335997111,0.06636669335997111,0.06669479407229044,3,0.32727272727272727,205.66666666666663,23.698541799599642,6.022126171789479e-06,-0.049761713831695205,-0.02005095726644458,0.00030420818585049476
