date,mcap,WeightedReturn,WeightedTurnover,ValueWeightedReturn,ValueWeightedTurnover
20141226,13056600197.165962,50487236.458109975,38911022.70647445,0.003866798071144786,0.002980180301064928
20141229,13044635724.863289,3075747.227087406,49457269.26972592,0.00023578636398600088,0.0037913875337629824
20141230,13041703573.032362,-52029594.56288766,46385845.79558514,-0.003989478389194067,0.0035567321045006576
20141231,13058104702.859186,-130240611.20958099,56974851.553320445,-0.009973929155359251,0.004363179255320667
20150102,12974225662.077703,-5697676.9799100915,62146106.47067788,-0.0004391535285657781,0.00478996651432728
20150105,12849917244.267223,-226486652.07518208,89276195.3874624,-0.017625533905770898,0.006947608586918449
20150106,12725961679.024717,-103453916.66363491,99772255.64398523,-0.008129359436477836,0.00784005626925882
20150107,12690173626.094894,147805015.5891213,81992247.5157643,0.011647201996132566,0.006461081615712732
20150108,12846479712.983229,233198190.2215762,89763546.11162525,0.01815269205507682,0.006987404185203063
20150109,12984296600.200724,-103632321.23783576,75776314.52838393,-0.007981358130423,0.005835996886208877
20150112,12879498474.199633,-95767013.30007641,77855306.85631983,-0.00743561665012951,0.006044902059834125
20150113,12867953035.851326,-30946161.77305098,94344702.59784807,-0.002404901672148792,0.007331756833040567
20150114,12580196583.274633,-83983843.8787471,96777517.79191771,-0.006675876908823793,0.007692846224723021
20150115,12682463910.14314,-134126883.72198871,92243288.90499611,-0.010575774918209477,0.007273294019092147
20150116,12489040559.070488,163629003.99357632,93523520.89040735,0.013101807398226162,0.007488447206817939
20150120,12722608978.100693,41654264.02121603,90024100.94839734,0.0032740347591374633,0.007075915097552316
20150121,12681160035.386267,59158733.459144875,87133105.33415307,0.004665088469356495,0.006871067401642408
20150122,12838447979.2339,213107795.3951569,95943775.33075224,0.01659918673502103,0.00747315995562241
20150123,12968496298.849703,-61717976.12922952,79548584.92248404,-0.004759069571905871,0.00613398678530987
20150126,12909798324.66356,28532091.480475545,77401502.4284135,0.002210111324974483,0.005995562477575004
20150127,12780450351.06348,-203723482.71796235,93114850.75341575,-0.015940242880487402,0.007285725322321488
20150128,12852687416.872368,-161689646.75612247,113513524.2238204,-0.012580220891691831,0.008831890214244648
20150129,12596190037.683882,122060793.76130462,111209671.46426699,0.009690294715793957,0.008828834046768288
20150130,12637084641.86462,-150184668.85317856,126131589.48512453,-0.01188443957680247,0.009981067078341071
20150202,12588876805.753248,156606646.19910944,97009538.39901544,0.012440080923465591,0.007705972494280114
20150203,12761213443.2655,175795921.88718367,100137379.8009813,0.013775799822544054,0.007847010807097423
20150204,12820422920.329906,-32268079.166416302,101924825.27134866,-0.00251692782421767,0.007950192119615803
20150205,12890780685.794111,126287709.74004102,89376523.97845384,0.009796746435940262,0.006933367819758853
20150206,12988992113.153828,-21731047.616207376,92408605.47366552,-0.00167303570799774,0.007114378442041258
20150209,12886171970.938993,-58041091.64836096,74616368.40635951,-0.004504137596429392,0.005790421591038439
20150210,12963580069.37497,146342151.81199715,84803571.31784329,0.011288714307995395,0.006541678368476497
20150211,13003872177.616362,12718008.152191514,84090465.30684462,0.0009780170074328394,0.006466571199583922
